话术ID,场景ID,客户问题,标准回答,必须覆盖点,推荐关键词,薄弱标签,来源,状态
STD_DEP_001,DEP_001,我这5000块存三个月合适吗？,可以先看您这笔钱近期是否会用。如果三个月内暂时不用，可以考虑三个月定期；如果可能随时要用，建议保留一部分活期，剩余部分再做定期安排。,询问资金用途|说明三个月期限|保留流动性|下一步办理引导,三个月|定期|活期|资金用途|到期,需求挖掘不足|流动性说明不足,人工整理,待业务确认
STD_DEP_002,DEP_001,别的银行利率可能更高，我为什么要存你们这里？,您关注利率很正常。建议除了利率，也一起考虑资金安全、网点服务、办理便利性和到期管理。具体利率以当日系统或网点公示为准，我可以帮您查询当前可办理的期限。,认可客户关注|避免承诺最高|说明安全与服务|引导查询,利率|安全|便利|到期|查询,夸大收益风险|产品说明不足,人工整理,待合规确认
STD_DEP_003,DEP_002,到期之后是不是自动转存？,是否自动转存要看办理时选择的设置。如果您选择自动转存，到期后系统会按规则续存；如果没有选择，通常会转到活期账户。建议办理前确认转存方式和到期提醒。,说明自动转存条件|说明活期可能|提醒确认设置|避免绝对说法,自动转存|到期|活期|设置|提醒,流程说明不足,人工整理,待业务确认
STD_DEP_004,DEP_002,提前取出来会不会有损失？,定期存款提前支取通常会影响原定期限的利息计算，具体规则以银行系统和产品说明为准。如果您近期可能用钱，可以考虑部分活期、部分定期的组合。,说明提前支取影响|提示以规则为准|提出组合方案,提前支取|利息|规则|活期|组合,风险提示不足|流动性说明不足,人工整理,待业务确认
STD_DEP_005,DEP_001,我最多只能放四五个月，不想太久。,如果资金最长只空闲四五个月，可以优先考虑三个月期限，到期后再根据资金安排决定是否续存。这样相对兼顾收益和灵活性。,匹配客户期限|说明三个月适配|到期后再决策,四五个月|三个月|到期|续存|灵活,客户需求回应不足,人工整理,待业务确认
STD_WM_001,WM_001,这个理财会不会亏？,理财产品不是存款，收益会有波动，也不能承诺保本。需要结合产品风险等级、投资方向和您的风险承受能力判断是否适合。,说明非存款|说明收益波动|风险等级|风险承受能力,理财|风险等级|收益波动|风险承受能力|非保本,合规风险|风险提示不足,人工整理,待合规确认
STD_WM_002,WM_001,你能不能保证我本金安全？,理财不能做保本承诺。我们可以一起查看产品说明书、风险等级和历史表现，再结合您的风险偏好做选择。,拒绝保本承诺|查看产品说明|确认风险偏好,保本承诺|产品说明书|风险等级|风险偏好,合规风险,人工整理,待合规确认
STD_WM_003,WM_002,理财收益是不是一定比定期高？,理财的预期收益不代表实际收益，也不一定高于定期。它和市场表现、产品类型、风险等级有关，建议根据您的资金期限和风险接受程度选择。,说明预期收益非实际收益|避免一定更高|结合期限和风险,预期收益|实际收益|风险等级|资金期限,夸大收益风险,人工整理,待合规确认
STD_WM_004,WM_002,我想收益高一点，但不想承担风险。,收益和风险通常需要一起考虑。完全不想承担波动的话，可以优先看存款类产品；如果能接受一定波动，再考虑较稳健的理财产品。,说明风险收益关系|识别风险偏好|给出稳健选择,收益|风险|波动|存款|稳健理财,风险偏好识别不足,人工整理,待合规确认
STD_WM_005,WM_001,你推荐我买哪个？,我需要先了解您的资金用途、投资期限、风险承受能力和是否有流动性要求，再帮您筛选适合的产品。具体选择以产品说明和您的确认结果为准。,询问需求|询问期限|询问风险承受能力|避免直接强推,资金用途|投资期限|风险承受能力|流动性|产品说明,需求挖掘不足|合规风险,人工整理,待合规确认
STD_CC_001,CC_001,信用卡有什么费用？,信用卡主要需要关注年费、账单日、还款日、分期费用和逾期影响。不同卡种政策不同，我可以根据您常用场景帮您看适合的卡种。,说明年费|说明还款日|说明分期费用|说明逾期影响,年费|账单日|还款日|分期费用|逾期,费用说明不足,人工整理,待业务确认
STD_CC_002,CC_001,我不常用信用卡，会不会扣钱？,是否产生年费要看具体卡种和减免条件。有些卡满足消费次数或金额可以减免，办理前需要确认规则，避免后续不必要费用。,说明年费政策|说明减免条件|提醒办理前确认,年费|减免条件|消费次数|规则|费用,费用说明不足,人工整理,待业务确认
STD_CC_003,CC_002,忘记还款会怎么样？,如果没有按时还款，可能产生逾期费用并影响信用记录。建议设置还款提醒或绑定自动还款，确保在还款日前完成还款。,说明逾期影响|提醒还款日|给出自动还款建议,逾期|信用记录|还款日|提醒|自动还款,风险提示不足,人工整理,待业务确认
STD_CC_004,CC_001,办信用卡有什么好处？,信用卡可以在消费、积分、优惠活动和短期资金周转方面提供便利，但也需要理性用卡、按时还款，并了解费用规则。,说明权益|说明理性用卡|说明按时还款|说明费用规则,积分|优惠|资金周转|理性用卡|按时还款,权益说明不足|风险提示不足,人工整理,待业务确认
STD_CC_005,CC_002,我担心信用卡不安全。,信用卡使用时需要保护卡片信息和验证码，避免外借或在不安全渠道输入信息。银行也会提供交易提醒，您可以及时关注异常交易。,说明安全用卡|保护验证码|交易提醒|异常交易处理,安全|验证码|交易提醒|异常交易|保护信息,安全提示不足,人工整理,待业务确认
