知识ID,场景ID,产品/业务,知识点类型,内容,适用问题,是否需要实时更新,来源,状态
PK_DEP_001,DEP_001,定期存款,产品特点,定期存款适合一段时间内暂时不用的资金，办理时通常需要约定存期。,存多久合适|三个月定期,是,银行资料/待提供,待确认
PK_DEP_002,DEP_001,活期存款,流动性,活期更方便随时支取，但通常收益低于同期限定期。,随时用钱|保留备用金,是,银行资料/待提供,待确认
PK_DEP_003,DEP_002,自动转存,流程规则,自动转存需要以办理时选择的设置和系统规则为准。,到期后怎么办|自动续存,是,银行资料/待提供,待确认
PK_DEP_004,DEP_002,提前支取,风险提示,提前支取可能影响利息计算，具体以产品规则和系统为准。,提前取款|流动性,是,银行资料/待提供,待确认
PK_WM_001,WM_001,理财产品,风险属性,理财产品不是存款，存在收益波动和本金损失风险，需关注风险等级。,会不会亏|风险等级,是,产品说明书/待提供,待合规确认
PK_WM_002,WM_001,风险等级,适配原则,产品风险等级应与客户风险承受能力相匹配。,适合我吗|推荐哪个,是,产品说明书/待提供,待合规确认
PK_WM_003,WM_002,预期收益,收益说明,预期收益不等于实际收益，不能作为收益承诺。,收益是不是更高,是,产品说明书/待提供,待合规确认
PK_WM_004,WM_002,流动性,期限规则,部分理财产品可能有封闭期或赎回限制，需要提前说明。,能不能提前取,是,产品说明书/待提供,待合规确认
PK_CC_001,CC_001,信用卡年费,费用说明,不同卡种年费与减免条件不同，办理前需确认。,会不会扣费|年费,是,信用卡业务规则/待提供,待确认
PK_CC_002,CC_001,信用卡权益,权益说明,信用卡权益可能包括积分、优惠、活动、分期等，具体以卡种为准。,有什么好处,是,信用卡业务规则/待提供,待确认
PK_CC_003,CC_002,还款规则,风险提示,需关注账单日、还款日和最低还款规则，避免逾期。,忘记还款|什么时候还,是,信用卡业务规则/待提供,待确认
PK_CC_004,CC_002,安全用卡,安全提示,不向他人透露验证码、密码和卡片敏感信息，及时关注交易提醒。,安全吗|盗刷怎么办,是,信用卡业务规则/待提供,待确认
