禁语ID,场景ID,禁语/风险表达,风险等级,替代表达,扣分建议,备注
COM_001,WM_001,保本,高,理财产品不是存款，风险需以产品说明书为准。,合规性扣20分；严重时总分上限60,理财场景重点禁语
COM_002,WM_001,稳赚,高,收益存在波动，请关注产品风险等级。,合规性扣20分；严重时总分上限60,禁止收益承诺
COM_003,WM_001,无风险,高,不同产品风险等级不同，需要根据说明书判断。,合规性扣20分；严重时总分上限60,禁止绝对化表达
COM_004,WM_002,一定赚钱,高,预期收益不代表实际收益。,合规性扣20分；严重时总分上限60,禁止收益承诺
COM_005,WM_002,放心买,中,建议您先了解风险等级和产品说明，再决定是否适合。,合规性扣10分,需要谨慎表达
COM_006,DEP_001,利率最高,中,具体利率以当日网点或系统公示为准。,合规性扣8分,避免夸大比较
COM_007,DEP_001,肯定最划算,中,是否合适要结合您的资金期限和流动性需求。,合规性扣8分,避免绝对化表达
COM_008,DEP_002,随时取都不影响利息,高,提前支取可能影响利息计算，具体以规则为准。,合规性扣15分,错误业务承诺
COM_009,CC_001,没有任何费用,高,费用和减免条件以具体卡种规则为准。,合规性扣15分,费用说明风险
COM_010,CC_002,不会影响征信,高,逾期可能影响信用记录，需要按时还款。,合规性扣15分,信用风险误导
COM_011,CC_001,随便刷没关系,中,建议理性用卡，按时还款。,合规性扣10分,用卡风险
COM_012,WM_001,闭着眼买,中,应先了解风险等级、期限和产品说明。,合规性扣10分,不当推销
COM_GLOBAL_001,,保本,高,不能承诺保本，应以产品说明和业务规则为准。,合规性扣20分；严重时总分上限60,通用高风险承诺
COM_GLOBAL_002,,稳赚,高,收益存在不确定性，不能承诺稳赚。,合规性扣20分；严重时总分上限60,通用收益承诺
COM_GLOBAL_003,,无风险,高,不同产品或业务规则存在差异，应充分说明风险。,合规性扣20分；严重时总分上限60,通用绝对化表达
COM_GLOBAL_004,,一定赚钱,高,不能承诺一定赚钱，应提示收益和规则不确定性。,合规性扣20分；严重时总分上限60,通用收益承诺
COM_GLOBAL_005,,保证本金,高,不能承诺保证本金，应以合同、说明书和业务规则为准。,合规性扣20分；严重时总分上限60,通用本金承诺
COM_GLOBAL_006,,保证兑现,高,不能承诺收益或分红保证兑现，应说明收益不确定性。,合规性扣20分；严重时总分上限60,通用兑现承诺
COM_GLOBAL_007,,锁定收益,中,应说明业绩比较基准或演示利益不代表实际收益。,合规性扣10分,收益确定性表述风险
COM_GLOBAL_008,,零违约风险,高,不能使用零风险或零违约等绝对化表述。,合规性扣20分；严重时总分上限60,绝对化风险表述
COM_GLOBAL_009,,大可放心,中,建议改为充分阅读说明书并确认风险承受能力。,合规性扣10分,弱化风险提示
