异议ID,场景ID,客户类型,客户异议/问题,异议类别,标准处理思路,追问方向
OBJ_DEP_001,DEP_001,利率敏感型,别的银行利率是不是更高？,收益比较,先认可客户关注收益，再说明需综合考虑安全性、期限、服务便利性和到期管理。,追问客户资金多久不用
OBJ_DEP_002,DEP_001,流动性关注型,我怕突然要用钱。,流动性顾虑,建议保留一部分活期，剩余资金再考虑定期。,追问备用金需求
OBJ_DEP_003,DEP_002,规则关注型,到期后我忘了怎么办？,到期管理,说明自动转存、到期提醒和账户安排需要办理时确认。,引导确认转存设置
OBJ_DEP_004,DEP_002,收益关注型,提前取是不是利息都没了？,提前支取,解释提前支取会影响利息计算，具体规则以系统为准。,询问资金使用计划
OBJ_WM_001,WM_001,风险担忧型,我怕亏，本金会不会没了？,风险担忧,明确不能承诺保本，引导查看风险等级和产品说明书。,追问风险承受能力
OBJ_WM_002,WM_001,低风险偏好,我不想承担任何风险。,风险偏好,说明如果完全不能接受波动，可优先考虑存款类产品。,追问资金期限
OBJ_WM_003,WM_002,收益比较型,理财是不是肯定比定期赚得多？,收益比较,说明预期收益不是实际收益，不能保证高于定期。,解释风险收益关系
OBJ_WM_004,WM_002,决策依赖型,你直接告诉我买哪个就行。,推荐合规,先做风险评估和需求了解，不直接强推产品。,询问风险承受能力
OBJ_CC_001,CC_001,费用敏感型,信用卡不用会不会扣钱？,费用顾虑,说明年费政策、减免条件和不同卡种差异。,追问使用频率
OBJ_CC_002,CC_001,价值怀疑型,我平时不用信用卡，办了有什么用？,价值顾虑,结合消费场景说明权益，同时提示理性用卡。,追问客户消费场景
OBJ_CC_003,CC_002,信用风险型,忘记还款会不会影响征信？,还款风险,说明逾期可能影响信用记录，建议设置提醒或自动还款。,引导设置提醒
OBJ_CC_004,CC_002,安全担忧型,我怕卡被盗刷。,安全顾虑,说明安全用卡、验证码保护、交易提醒和异常处理。,提醒安全习惯
