规则ID,场景ID,评分维度,评分点,满分,命中方式,扣分条件,对应薄弱标签,关键词/必答点
RULE_DEP_001,DEP_001,关键词命中,是否提到存期、定期、到期、活期等关键词,20,关键词匹配,完全没提期限扣10-20分,产品说明不足,三个月|定期|到期|活期
RULE_DEP_002,DEP_001,回答完整度,是否询问客户资金用途和短期是否要用,20,必答点检查,未询问资金用途扣10分,需求挖掘不足,资金用途|短期不用|是否要用
RULE_DEP_003,DEP_001,合规性,是否避免利率最高、肯定最划算等绝对化表达,20,禁语检测,出现中高风险词按规则扣分,夸大收益风险,利率最高|肯定最划算
RULE_DEP_004,DEP_002,回答完整度,是否说明自动转存、到期、活期和提前支取影响,20,必答点检查,未说明到期安排扣10分,流程说明不足,自动转存|到期|活期|提前支取
RULE_DEP_005,DEP_002,关键词命中,是否提到转存设置、到期提醒、规则以系统为准,20,关键词匹配,缺少关键流程词扣分,流程说明不足,转存设置|到期提醒|系统为准
RULE_WM_001,WM_001,合规性,是否避免保本、稳赚、无风险、一定赚钱等表达,20,禁语检测,出现高风险词直接扣合规分并限制总分,合规风险,保本|稳赚|无风险|一定赚钱
RULE_WM_002,WM_001,回答完整度,是否说明理财非存款、风险等级和风险承受能力,20,必答点检查,未提示风险等级扣10分,风险提示不足,非存款|风险等级|风险承受能力
RULE_WM_003,WM_001,关键词命中,是否提到产品说明书、收益波动、风险偏好,20,关键词匹配,缺少风险关键词扣分,产品说明不足,产品说明书|收益波动|风险偏好
RULE_WM_004,WM_002,合规性,是否避免承诺收益高于定期,20,禁语检测,出现一定比定期高等表述扣分,夸大收益风险,一定比定期高|保证收益
RULE_WM_005,WM_002,回答完整度,是否说明预期收益不等于实际收益,20,必答点检查,未区分预期与实际收益扣10分,收益说明不足,预期收益|实际收益|市场表现
RULE_CC_001,CC_001,回答完整度,是否说明年费、减免条件、还款和逾期影响,20,必答点检查,未说明费用或还款扣分,费用说明不足,年费|减免条件|还款|逾期
RULE_CC_002,CC_001,关键词命中,是否提到权益、积分、优惠、理性用卡,20,关键词匹配,缺少权益或风险提示扣分,权益说明不足,权益|积分|优惠|理性用卡
RULE_CC_003,CC_001,合规性,是否避免没有任何费用等绝对化承诺,20,禁语检测,出现费用绝对化表达扣分,费用误导风险,没有任何费用
RULE_CC_004,CC_002,回答完整度,是否说明账单日、还款日、自动还款和信用记录,20,必答点检查,未说明逾期影响扣分,风险提示不足,账单日|还款日|自动还款|信用记录
RULE_CC_005,CC_002,合规性,是否避免不会影响征信等错误承诺,20,禁语检测,出现高风险表达扣分,信用风险误导,不会影响征信
